model_name,batch_size,learning_rate,seed,projection_dim,temperature,phecode_setting,epoch,train_mortality_auroc,train_mortality_auprc,val_mortality_auroc,val_mortality_auprc,train_readmission_auroc,train_readmission_auprc,val_readmission_auroc,val_readmission_auprc,train_phecode_micro_auc,val_phecode_micro_auc,train_phecode_macro_auc,val_phecode_macro_auc,train_phecode_micro_ap,val_phecode_micro_ap,train_phecode_prec@5,val_phecode_prec@5,train_phecode_micro_f1,val_phecode_micro_f1,train_phecode_macro_f1,val_phecode_macro_f1,train_phecode_micro_precision,val_phecode_micro_precision,train_phecode_macro_precision,val_phecode_macro_precision,train_phecode_micro_recall,val_phecode_micro_recall,train_phecode_macro_recall,val_phecode_macro_recall
bs128_lr0.001_seed42_proj256_temp0.07_nophe,128,0.001,42,256,0.07,nophe,0,0.9984056101352916,0.39895644737698577,0.9977994705493052,0.23059824434824433,0.9453413178527273,0.21355794807703077,0.6652772264125975,0.08514273934042467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.07_nophe,128,0.001,42,256,0.07,nophe,3,0.9751760143422386,0.31529544664303877,0.9579569747928312,0.2752413502800914,0.9586979211821662,0.17953236721552968,0.955729709920221,0.13471954614637033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.07_nophe,128,0.001,42,256,0.07,nophe,7,0.9818124641831525,0.5263087675791104,0.92321352841391,0.20654486524735738,0.9460834715275248,0.2726264479328015,0.908741382642871,0.1158731485807366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.12_phe,128,0.001,42,256,0.12,phe,0,0.9979820034405187,0.3701354455210206,0.9974861074358295,0.13587187666135034,0.8742082851000496,0.18906866971208242,0.9991622574955908,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.12_phe,128,0.001,42,256,0.12,phe,3,0.9754262829024382,0.5238134182838685,0.9311183163840169,0.23205258749598676,0.964429583385276,0.3224610322282434,0.9168364960577311,0.11235125844133018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.12_phe,128,0.001,42,256,0.12,phe,7,0.9763136493333368,0.5161940541082368,0.9346175937007396,0.270043767789336,0.961628952971957,0.32361315752736264,0.8974471402124137,0.14380576118030153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.07_phe,128,0.001,42,256,0.07,phe,0,0.9988996668795416,0.525827094719403,0.7975125694628209,0.07407874672713555,0.8738093269389782,0.1983471553560083,0.999647266313933,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.07_phe,128,0.001,42,256,0.07,phe,3,0.971452547331625,0.3796143771339841,0.9658217022034804,0.25927111998608054,0.9565367452855236,0.24266763374153633,0.9082844971571236,0.1464881261282899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.001_seed42_proj256_temp0.07_phe,128,0.001,42,256,0.07,phe,7,0.9852163263673386,0.6064416783611134,0.9483028197247094,0.17147482937648637,0.9610663274542873,0.34085949242817565,0.9271073621960194,0.10324647946971699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs128_lr0.0005_seed42_proj256_temp0.07_nophe,128,0.0005,42,256,0.07,nophe,0,0.9987660039605514,0.43755598243663746,1.0,1.0,0.9989945760021166,0.3654017219552933,0.995766635798386,0.07697658465902084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
